text,left,top,width,height,conf,line_num,block_num,par_num
20,220,789,40,26,96,1,1,1
ai,222,887,40,25,43,1,2,1
22,220,983,42,25,95,1,3,1
.23,220,1126,43,26,82,1,4,1
24,224,1262,39,24,96,1,5,1
25,223,1357,39,26,93,1,6,1
26,223,1451,39,27,96,1,7,1
COLLEGE:,1071,188,176,44,93,1,8,1
ceET,1262,205,88,35,42,1,8,1
T,1861,195,24,32,91,1,8,1
(NON-,1900,197,117,42,91,1,8,1
-DEGREE),2006,206,190,50,87,1,8,1
DEPARTMENT:,1891,257,242,40,96,1,11,1
ENG,868,305,64,29,96,2,11,1
Sara,1001,252,228,103,27,2,11,1
7020/2021,1247,273,192,43,52,2,11,1
SEMESTER:,1872,320,184,36,27,2,11,1
SECOND,2075,273,135,90,27,2,11,1
mone,2354,280,124,31,58,2,11,1
a,1541,409,90,110,31,3,11,1
121,1656,415,48,25,72,3,11,1
1251126{,1826,425,135,28,33,3,11,1
over,2036,443,76,25,70,3,11,1
o,2196,480,23,15,67,1,12,1
&,2273,473,22,15,88,1,12,1
<,2354,464,21,36,92,1,12,1
cms,2009,487,129,26,58,1,13,1
|e,2169,430,64,152,37,1,13,1
8,2271,430,26,152,74,1,13,1
23,2191,600,30,23,68,1,13,2
|,2239,596,15,42,68,1,13,2
61,2267,602,31,23,70,1,13,2
co,2426,606,37,23,85,1,13,2
Ste,851,675,195,217,23,2,13,2
raf,2163,763,114,170,49,1,14,1
pal,2318,811,157,90,25,1,14,1
CME/20/11,649,857,177,33,92,2,14,1
peer,2094,754,530,326,24,1,14,2
pele,638,907,294,220,21,2,14,2
CME/20/11,647,1068,176,32,91,1,15,1
23,2187,1129,31,23,82,2,15,1
|,2234,1125,18,41,82,2,15,1
82,2264,1130,31,23,94,2,15,1
|,2312,1125,15,41,54,2,15,1
3.57|,2333,1132,58,23,54,2,15,1
co,2425,1135,38,22,94,2,15,1
se),645,1204,175,31,36,1,16,1
|,899,1180,42,127,50,1,16,1
a,2187,1259,30,23,35,1,16,1
les,2264,1261,32,23,43,1,16,1
2266,644,1253,74,25,96,2,16,1
3.,2334,1263,21,22,89,2,16,1
