text,left,top,width,height,conf,line_num,block_num,par_num
CME/20/11,642,1316,173,32,88,3,16,1
23,2186,1368,32,23,65,1,16,2
|,2234,1346,15,57,65,1,16,2
58,2264,1369,33,24,71,1,16,2
sae,640,1366,75,25,33,2,16,2
on,837,1180,195,222,61,2,16,2
tee,1826,1204,649,305,29,2,16,2
CME/20/11,649,762,178,34,86,1,18,1
2211,650,811,75,27,95,2,18,1
CME/20/,615,1877,138,32,92,1,22,1
AY,755,1865,55,101,22,1,22,1
|,868,1869,42,93,47,1,22,1
2349,613,1928,73,27,96,2,22,1
CME/20/11,612,1994,168,32,37,1,23,1
2351,605,2046,72,27,94,2,23,1
Dean:,1361,2148,101,29,96,1,24,1
Engr.,1479,2148,87,38,96,1,24,1
Prof.,1583,2146,81,31,93,1,24,1
Ahaneku,1678,2146,157,34,90,1,24,1
[.,1851,2151,15,29,89,1,24,1
E,1884,2152,16,29,79,1,24,1
D,2459,2158,21,29,87,1,24,1
ITY,1721,89,134,67,95,1,25,1
EXAMINATION,1419,156,295,59,93,2,25,1
RESUL,1731,184,127,42,88,2,25,1
OF,1874,103,98,62,78,2,25,1
"AGRICULTURE,",1991,110,561,145,94,2,25,1
UMUDIKE,2573,143,370,60,92,2,25,1
Page,3091,98,77,36,96,1,26,1
16,3180,101,39,29,96,1,26,1
of,3229,101,37,31,92,1,26,1
§,3270,96,19,42,72,1,26,1
RRING,2484,285,102,29,92,1,27,1
LEVEL:,2688,350,105,27,96,2,27,1
100,2810,352,59,27,96,2,27,1
iG,2540,408,189,146,52,1,28,1
elel,2738,411,163,145,16,1,28,1
|,2926,414,52,143,33,1,28,1
=,2510,474,22,11,84,1,29,1
"GS$121,CHM114,G5S11",2994,1235,294,28,33,1,31,1
19,2509,1266,28,23,89,2,31,1
|,2555,1255,17,50,77,2,31,1
32,2584,1267,31,23,77,2,31,1
|,2634,1255,13,50,77,2,31,1
1.68,2663,1269,57,23,94,2,31,1
95,2842,1272,32,24,95,2,31,1
|,2888,1264,13,50,90,2,31,1
2.38,2914,1274,59,24,90,2,31,1
"|4,G88115,MTH112,PHY",2994,1277,289,28,15,2,31,1
117,2998,1319,42,21,90,3,31,1
"MTH122,CHM114,GSS1",2998,1364,291,25,18,4,31,1
‘,2585,1377,15,21,17,5,31,1
‘,3106,1383,5,7,26,5,31,1
‘,3222,1384,5,8,33,5,31,1
=,637,1410,157,75,74,1,32,1
"MTH122,PH¥122,CHM",3005,1566,280,28,78,1,33,1
23,2187,1592,32,25,77,2,33,1
|,2236,1588,16,43,77,2,33,1
42,2266,1594,32,24,90,2,33,1
11.83),2339,1596,56,24,17,2,33,1
CO},2431,1598,38,23,79,2,33,1
20,2513,1600,31,22,86,2,33,1
|,2559,1588,19,43,86,2,33,1
42,2590,1600,32,23,90,2,33,1
|,2641,1588,16,43,90,2,33,1
2.10,2669,1601,59,25,92,2,33,1
|,2742,1588,15,43,92,2,33,1
43,2774,1604,32,23,94,2,33,1
1.95,2926,1607,58,24,86,2,33,1
"$115,PHY¥117",3008,1652,165,26,54,3,33,1
[elas,2498,1652,235,176,23,4,33,1
2326,624,1735,73,25,96,5,33,1
<a,621,1779,172,34,35,6,33,1
bbe,1701,1684,260,285,22,6,33,1
tab,2121,1687,249,286,33,6,33,1
et,2493,1791,160,95,43,6,33,1
at,2814,1760,196,193,55,6,33,1
2338,618,1831,74,27,96,7,33,1
reff,2162,1838,210,180,25,1,34,1
fa,2462,1886,75,94,39,1,34,1
ew,2597,1888,210,96,37,1,34,1
2.56,2942,2043,59,25,83,2,34,1
"PHY122,CHM124,CHF",3025,2023,264,27,18,2,34,1
23,2190,2033,32,23,64,3,34,1
|,2241,2029,15,44,64,3,34,1
57,2271,2034,32,24,77,3,34,1
12.48],2342,2035,61,25,64,3,34,1
CO,2438,2036,39,26,71,3,34,1
|,2490,2029,15,44,71,3,34,1
20,2522,2038,34,25,90,3,34,1
|,2571,2029,15,44,90,3,34,1
53,2604,2039,32,25,91,3,34,1
|,2651,2029,16,44,91,3,34,1
2.65,2684,2040,58,26,96,3,34,1
|,2758,2029,19,44,96,3,34,1
43,2789,2042,33,25,93,3,34,1
|,2838,2029,12,44,56,3,34,1
110,2861,2043,50,25,56,3,34,1
"13,655115,PHY112",3026,2067,236,27,43,3,34,1
ate,2484,2162,54,27,96,1,35,1
Presented,2555,2160,176,32,96,1,35,1
to,2746,2165,34,28,96,1,35,1
CamScanner,3156,2379,274,38,92,1,36,1
