text,left,top,width,height,conf,line_num,block_num,par_num
et,598,1804,220,29,23,2,6,2
ete,958,1797,369,89,23,2,6,2
fel,1425,1751,132,175,23,2,6,2
[apo,2504,1751,161,175,33,2,6,2
$139,653,1852,68,24,82,3,6,2
ME/29,671,1898,94,24,41,1,6,3
ete,597,1896,396,51,37,1,6,4
le,1370,1890,145,89,32,1,6,4
bole,2485,1843,176,176,45,1,6,4
9141,650,1944,66,24,66,1,6,5
cry,650,1988,163,30,37,1,6,6
Te,937,1981,59,91,31,1,6,6
Pele,1025,1938,176,175,25,1,6,6
a,2789,2002,45,91,42,1,6,6
elena,2877,1938,230,175,26,1,6,6
9247,648,2035,68,25,68,2,6,6
fet,1228,2026,231,176,22,1,6,7
fee,1502,2075,280,89,26,1,6,7
c,1170,2108,16,25,38,1,6,8
C,1363,2108,17,25,45,1,6,8
fa,1551,2089,22,50,65,1,6,8
c,1741,2109,16,24,40,1,6,8
417,2352,2123,62,24,77,1,6,8
8,2615,2128,17,24,95,1,6,8
7,2897,2132,33,23,83,1,6,8
al,640,2027,187,176,41,1,6,9
CERES,870,2027,353,176,28,1,6,9
Dean:,1382,2178,99,29,96,1,7,1
Engr.,1497,2178,87,36,96,1,7,1
Prof.,1599,2176,81,30,93,1,7,1
Ahaneku,1694,2178,154,32,68,1,7,1
I.,1863,2183,16,27,72,1,7,1
Date,2471,2195,82,33,96,1,7,1
Presented,2567,2198,180,32,95,1,7,1
to,2759,2203,37,27,93,1,7,1
Senate:....a3,2807,2199,221,40,30,1,7,1
RLG.,669,387,77,37,58,1,8,1
CamScanner,3156,2379,274,38,92,1,14,1
